KOs,Astragalus sinicus1,Astragalus sinicus2,Astragalus sinicus3,Astragalus sinicus4,Melilotus officinalis1,Melilotus officinalis2,Melilotus officinalis3,Melilotus officinalis4,Vicia villosa1,Vicia villosa2,Vicia villosa3,Vicia villosa4,Pisum sativum1,Pisum sativum2,Pisum sativum3,Pisum sativum4,Trifolium incarnatum1,Trifolium incarnatum2,Trifolium incarnatum3,Trifolium incarnatum4,Medicago sativa1,Medicago sativa2,Medicago sativa3,Medicago sativa4,Fagopyrum tataricum1,Fagopyrum tataricum2,Fagopyrum tataricum3,Fagopyrum tataricum4,Brassica juncea1,Brassica juncea2,Brassica juncea3,Brassica juncea4,Cichorium intybus1,Cichorium intybus2,Cichorium intybus3,Cichorium intybus4,Lolium multiflorum1,Lolium multiflorum2,Lolium multiflorum3,Lolium multiflorum4,Triticum turgidum1,Triticum turgidum2,Triticum turgidum3,Triticum turgidum4
K01597,13.377,16.727,22.338,19.259,54.704,19.456,33.187,21.98,47.402,61.018,42.802,53.258,48.083,61.669,46.483,37.92,34.65,34.966,43.07,49.682,39.969,30.749,24.263,14.232,15.421,18.552,9.559,19.379,7.849,23.105,32.974,23.022,6.363,4.322,6.289,7.493,45.92,16.958,16.695,33.53,46.147,55.327,41.87,36.595
K01598,2.144,0.864,3.104,1.716,4.474,4.339,4.309,4.181,5.607,6.512,10.649,6.676,11.019,18.483,5.527,12.143,3.602,2.813,2.73,3.328,1.729,1.675,2.564,1.081,1.919,8.583,1.901,5.245,2.194,2.553,4.923,13.495,1.551,2.803,3.545,4.739,8.091,9.694,2.45,6.783,8.401,11.787,5.324,8.029
K01599,298.092,288.18,317.078,315.639,354.51,358.961,351.484,346.281,360.606,340.891,333.524,360.647,352.796,354.895,324.256,364.608,305.12,320.408,313.285,342.762,315.255,327.643,328.639,347.381,352.933,384.497,361.774,322.314,311.217,297.543,308.819,343.066,305.236,310.806,329.059,318.548,343.789,350.958,369.062,344.062,359.787,371.146,379.45,351.476
K01601,39.329,63.45,101.125,68.162,107.328,125.364,122.319,103.094,81.106,108.067,127.949,89.687,114.795,114.378,77.295,130.002,62.523,74.641,87.909,89.883,66.641,69.21,64.608,134.646,122.422,116.043,118.662,88.715,25.877,40.739,63.228,92.216,64.042,71.069,104.062,62.318,38.101,82.407,72.468,84.37,83.111,91.738,77.706,87.206
K01602,11.295,19.949,33.987,24.016,33.51,41.849,34.315,32.11,29.452,26.668,40.837,30.095,23.011,28.51,26.662,33.313,17.353,15.319,12.347,18.613,10.861,12.87,18.346,43.573,24.049,16.553,18.4,10.486,5.564,5.071,9.938,15.372,9.235,11.257,14.202,11.996,5.376,11.426,15.721,14.253,12.076,13.111,17.456,17.165
K01607,647.192,662.69,631.378,762.308,787.177,688.094,686.324,671.096,642.556,661.998,650.089,634.754,663.755,616.842,657.862,716.686,768.789,697.296,704.313,828.15,656.663,767.926,729.822,1008.929,699.38,720.773,643.823,749.87,634.05,706.56,645.688,707.444,679.841,644.663,695.668,705.933,641.832,758.544,653.173,693.059,728.788,737.921,622.321,783.43
K01608,254.185,262.712,212.975,218.825,180.851,172.507,195.915,182.783,179.846,163.567,179.251,163.601,122.51,102.839,161.657,96.024,242.292,168.726,233.867,173.435,239.704,247.918,251.914,165.125,87.39,104.399,59.542,198.774,269.534,260.735,233.9,142.32,197.142,236.926,199.303,217.661,170.52,97.405,51.889,103.007,116.474,89.245,47.167,86.145
K01609,240.95,246.866,260.648,232.916,265.356,239.898,258.606,247.592,280.36,277.662,249.712,255.138,267.931,271.921,270.457,271.509,261.475,220.18,259.33,258.967,259.902,267.576,258.569,277.774,240.324,229.869,219.41,252.084,253.321,252.657,256.963,270.318,261,249.09,263.858,247.959,274.14,237.01,241.208,241.728,252.325,237.669,246.408,234.485
K01610,330.303,273.427,269.91,336.876,307.199,232.68,286.297,242.928,334.109,323.485,287.409,320.938,279.288,299.386,300.588,268.609,300.987,317.878,299.677,299.419,312.911,335.184,327.121,302.229,329.176,353.815,322.679,300.457,315.466,304.784,312.214,270.377,315.041,320.847,338.941,331.317,303.266,275.181,367.307,297.723,312.919,289.504,366.346,274.331
K01611,143.565,106.687,152.38,141.983,139.874,122.487,114.463,116.779,86.589,109.214,129.308,114.843,109.746,113.404,91.193,126.213,112.663,96.102,107.502,114.161,159.65,98.368,156.016,153.128,128.529,147.221,127.02,166.838,209.989,138.079,145.788,125.964,125.473,106.275,144.164,139.257,76.834,99.246,127.246,101.652,98.725,82.725,114.925,86.033
K01612,0.06,0.255,4.857,0.275,0.254,1.163,0.261,0.345,0.384,1.437,0.749,0.531,0.299,0.151,1.895,0.581,0.129,0.07,0,0.37,0.327,0.098,0.033,0.305,1.68,0.838,0.926,0.249,21.305,0.129,0.046,0.658,0.381,0.154,0.392,0.357,0.053,0.237,0.303,1,0.186,1.101,0.714,1.437
K01613,270.446,250.211,274.717,279.27,279.004,279.356,310.01,280.842,319.563,303.527,299.576,304.241,296.407,311.97,292.208,299.245,261.977,272.837,260.478,269.23,278.804,282.502,289.845,282.188,273.004,298.724,291.068,285.467,286.154,262.917,264.377,278.562,281.44,270.623,301.082,291.658,286.794,252.399,317.793,263.272,270.921,264.56,287.445,273.935
K01615,0.614,1.122,1.899,1.024,1.714,2.005,2.592,2.082,2.34,3.419,2.486,3.577,1.952,1.894,1.675,2.382,0.954,1.052,0.665,2.313,0.67,0.593,0.993,1.091,2.946,6.821,2.937,5.861,1.311,1.987,3.169,6.772,3.858,2.868,3.613,4.48,2.574,11.706,2.61,8.873,9.528,8.406,2.452,11.054
K01616,0.236,1.474,1.339,4.586,0.406,0.902,1.019,0.452,0.895,0.744,1.175,0.939,1.877,2.729,1.462,3.196,0.589,0.618,2.416,5.086,0.897,0.268,0.19,1.137,11.309,1.876,12.846,4.853,0.426,0.684,1.298,3.389,2.602,0.878,2.873,0.992,7.321,6.251,3.325,6.482,6.031,6.613,2.674,10.675
K01617,12.049,25.598,32.77,26.325,45.703,47.12,37.14,39.365,43.376,26.456,30.355,31.514,40.045,43.042,29.244,47.187,30.019,23.849,23.995,49.678,16.078,20.914,24.463,72.476,67.649,49.043,52.948,32.242,12.346,14.279,24.102,45.475,26.308,20.186,26.389,20.402,53.878,44.68,43.815,41.592,42.118,46.332,38.878,46.452
K01618,0,0,0,0,0,0,0,0,0.077,0.652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,2.285,0,0,0,0,0,0,0
K01619,76.96,56.668,88.376,89.377,136.043,127.358,106.876,117.139,146.619,147.856,153.529,152.095,176.5,212.812,148.675,175.039,87.351,134.486,88.157,130.394,84.283,73.686,77.311,105.274,193.811,171.295,214.911,111.569,61.18,75.981,90.628,163.672,97.626,87.12,101.067,89.32,153.568,194.146,205.898,189.797,193.803,239.857,237.632,199.042
K01620,451.51,451.816,402.475,452.928,394.978,366.537,383.596,368.849,384.522,394.627,383.481,376.492,354.373,357.005,362.789,322.326,399.339,365.851,418.393,365.483,423.087,451.006,439.122,339.261,350.206,328.717,350.959,405.962,448.23,440.439,422.712,366.403,423.634,450.595,452.599,418.613,365.541,314.739,362.192,331.919,331.207,336.563,375.65,320.836
K01621,192.302,224.356,233.881,214.174,136.051,167.443,166.846,168.495,103.618,144.415,180.421,133.748,153.764,179.637,198.778,190.252,250.071,182.898,254.761,210.458,193.874,165.53,144.028,179.931,279.621,231.145,254.713,201.615,214.175,261.783,245.555,224.993,240.416,275.62,230.399,238.115,121.346,284.51,208.189,265.574,260.449,268.628,235.225,259.927
K01622,2.444,3.203,4.571,2.818,4.597,5.341,8.732,4.096,5.962,4.234,7.883,4.958,2.742,8.18,8.089,8.345,3.455,3.446,3.966,4.701,2.543,2.285,2.736,6.033,19.173,16.452,28.767,9.825,4.062,3.846,6.514,22.976,13.071,8.764,10.262,8.438,7.376,27.038,17.198,26.184,23.669,25.339,11.028,23.639
